适合BERT聚类的格式总结,Topic,Name,主题词1,主题词2,主题词3,主题词4,主题词5,主题词6,主题词7,主题词8
"企业 行政许可 信息 （ 数据服务 ）   企业 行政许可 信息 包含 企业 行政许可 内容 、 许可 机关 、 许可 日期 、 许可证 有效期 、 许可证 文件名称 等 内容 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 行政许可 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 检查 信息 （ 数据服务 ）   企业 检查 信息 产品 反应 企业 、 类型 、 检查 实施 机构 等 信息 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 检查 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 异常 信息 （ 数据服务 ）   企业 异常 信息 产品 描述 企业 列入 异常 日期 、 列入 机关 、 列入 异常 原因 、 异常 移除 日期 、 移除 机关 、 移除 原因 等 内容 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 异常 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 招投标 信息 （ 数据服务 ）   企业 招投标 信息 产品 描述 企业 招标 编号 、 招标 行业 、 投标 企业 、 中标 企业 、 中标 金额 、 招投表 角色 、 招投表 内容 、 招投标 企业 名称 、 联系人 、 公告 日期 、 招投标 项目 所在 省份 等 内容 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 招投标 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"资质 认证 信息 （ 数据服务 ）   企业资质 信息 数据 产品 包含 颁发 给 企业 许可证 信息 、 证书编号 、 证书 状态 、 颁发 日期 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 资质 认证 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 基本 信息 （ 数据服务 ）   企业 基本 信息 包含 企业 税号 、 法人 、 注册 时间 、 经纬度 、 企业 类型 、 注册资本 、 企业 经营范围 、 企业 经营 期限 、 登记 机关 、 企业 所在地 、 企业 经营 状态 等 企业 基础 信息 。 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 基本 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 变更 信息 （ 数据服务 ）   企业 工商 变更 信息 变更 时间 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 变更 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 进出口 查询 （ 数据服务 ）   企业 海关 进出口 信息 包含 海关 进出口 注册 信息 、 海关 进出口 信用等级 信息 、 海关 进出口 行政处罚 信息 。 海关 进出口 注册 信息 海关 注册 编码 、 经济区划 、 经营 类别 、 特殊 贸易区 、 报关 有效期 、 年报 等 。 海关 进出口 信用等级 信息 认定 时间 、 认定 证书编号 、 信用等级 等 。 海关 进出口 行政处罚 信息 当事人 、 案件 性质 、 处罚 日期 、 行政处罚 决定书 编号 等 。 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 进出口 查询 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 供应商 信息 （ 数据服务 ）   企业 供应商 信息 包含 企业 供应商 名称 、 供应商 法定代表 人 、 供应商 经营 状态 、 供应商 企业 类型 、 关联 日期 、 金额 、 占 总额 比例 、 次数 等 内容 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 供应商 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 客户 信息 （ 数据服务 ）   企业 客户 信息 包含 客户 名称 、 客户 法定代表 人 、 客户 经营 状态 、 客户 企业 类型 、 关联 日期 、 金额 、 占 总额 比例 、 次数 等 内容 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 客户 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",-1,-1_数据_应用_分析_价值,数据,应用,分析,价值,相关,解决,体现,产品
"企业债券 信息 （ 数据服务 ）   企业债券 信息 包含 债券 全称 、 债券 简称 、 债券 代码 、 债券 类型 、 发行人 名称 、 交易市场 、 发行 年份 、 发行 日期 、 上市 日期 、 信用 评级 、 债券 年限 、 票面 利率 、 发行 面值 、 发行 规模 、 付息 频率 、 起息 日期 、 止息 日期 、 主 承销商 、 到期 日期 等 内容 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业债券 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 双 随机 信息 （ 数据服务 ）   企业 双 随机 信息 产品 包含 企业 日期 、 机关 、 计划 名称 、 信息 、 事项 、 类型 等 内容 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 双 随机 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 置 地 信息 （ 数据服务 ）   企业 置 地 信息 包含 宗 地 编号 、 地块 位置 、 面积 、 土地 用途 、 容积率 上限 、 容积率 下限 、 签订 日期 、 成交价 款 （ 万元 ) 、 行政区 、 电子 监管 号 、 供应 、 受让人 、 约定 动工 时间 、 约定 竣工 时间 、 项目名称 、 土地 来源 、 土地 年限 、 行业 分类 、 土地 级别 、 支付 期号 、 约定 支付 日期 、 约定 支付 金额 、 支付 备注 、 约定 交地 时间 、 实际 开工 时间 、 实际 竣工 时间 、 批准 单位 等 内容 ，   机器 学习 建模 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 置 地 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",-1,-1_数据_应用_分析_价值,数据,应用,分析,价值,相关,解决,体现,产品
"企业 严重 违法 信息 （ 数据服务 ）   企业 严重 违法 信息 企业 违法 事实 、 违法 类别 、 列出 决定 机关 、 列出 原因 等 信息 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 严重 违法 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 行政处罚 信息 （ 数据服务 ）   行政处罚 信息 产品 企业 违法行为 类型 、 行政处罚 内容 、 作出 行政处罚 机关 名称 、 违法行为 类型 等 信息 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 行政处罚 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 动产 抵押 （ 数据服务 ）   企业 动产 抵押 信息 包含 动产 抵押 基本 信息 、 登记 信息 、 抵押权人 信息 、 抵押物 信息 、 被 担保 主 债权 信息 、 变更 信息 、 注销 信息 等 内容 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 动产 抵押 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 清算 信息 （ 数据服务 ）   企业 清算 信息 包含 清算组 成员 、 清算 负责人 等 基本 信息内容 ，   数据处理 ，   "" 金融服务 ""   解决 相关 。 
 企业 清算 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 环保 处罚 （ 数据服务 ）   企业 环保 处罚 信息 被 处罚 人 ( 单位 ) 名称 、 法定代表 人 名称 、 地址 、 处罚 违法 类型 、 违法行为 类别 、 处罚 措施 、 执行 、 作出 处罚 单位名称 、 处罚 决定 作出 时间 、 省份 等 内容 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 环保 处罚 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"奥普 生物 HFABP 快检 （ 免疫荧光 ） （ 数据服务 ）   奥普 生物 心形 脂肪酸 结合 蛋白 快检 产品 采用 先进 免疫荧光 技术 ，   数据处理 ，   "" 医疗 健康 ""   解决 相关 。 
 奥普 生物 HFABP 快检 （ 免疫荧光 ） （ 数据服务 ）   当 医院 奥普 生物 仪器 检测 奥普 生物 HFABP 快检 （ 免疫荧光 ） 时 ， 医院 腾云 管家 注册 账号 ， 向 奥普 生物 HFABP 快检 （ 免疫荧光 ） 查询 检查 。   体现 其 应用 价值 。",9,9_奥普_生物_快检_免疫荧光,奥普,生物,快检,免疫荧光,糖尿病,产品,项目,模型
"企业 知识产权 出质 信息 （ 数据服务 ）   企业 知识产权 出质 信息 知识产权 出质 登记 信息 登记号 、 商品 注册号 、 商品名称 、 种类 、 知识产权 出质人 名称 、 知识产权 质权 人 名称 、 知识产权 质权 登记 期限 自 、 知识产权 质权 登记 期限 至 、 状态 、 注销 日期 、 注销 原因 、 其它 无效 日期 、 其它 无效 原因 、 公示 日期 、 变更 事项 、 变更 前 内容 、 变更 后 内容 、 变更 日期 等 内容 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 知识产权 出质 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 税收 非正常 户 信息 （ 数据服务 ）   企业 税务 非正常 户 信息 纳税人 登记 名称 、 纳税人 识别 号 、 法定代表 人 姓名 、 证照 类型 、 证照 号码 、 经营 地点 、 主管 税务机关 、 税务局 分类 、 登记 户 类别 、 所属 日期 、 公布 机关 、 发布 地区 等 内容 ，   机器 学习 建模 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 税收 非正常 户 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 税收 违法 信息 （ 数据服务 ）   企业 税收 违法 信息 纳税人 登记 名称 、 纳税人 识别 号 、 法人 概要 信息 、 负有 直接 责任 财务 负责人 概要 信息 、 负有 直接 责任 中介机构 概要 信息 、 案件 性质 、 违法 事实 、 相关 法律依据 及 税务 处理 处罚 等 内容 ，   图像 / 视频 处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 税收 违法 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"欠税 公告 （ 数据服务 ）   企业 欠税 公告 信息 纳税人 名称 、 纳税人 识别 号 、 法定代表 人 姓名 、 证照 类型 、 证照 号码 、 经营 地点 、 公告 时间 、 欠税 人 类型 、 欠税 税种 、 欠税 余额 、 其中 新 欠税 金额 、 主管 税务机关 、 税务局 分类 、 限缴 日期 、 省份 等 内容 ，   机器 学习 建模 ，   "" 金融服务 ""   解决 相关 。 
 欠税 公告 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 年报 信息 （ 数据服务 ）   企业 年报 信息 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 年报 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 限制 令 信息 （ 数据服务 ）   企业 限制 令 信息 产品 申请人 、 执行 法院 、 限消 对象 、 关联 限消 对象 、 限制 高 消费 、 案号 等 信息 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 限制 令 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
"企业 被执行人 信息 （ 数据服务 ）   企业 被执行人 信息 执行 法院 代码 、 执行 法院 、 执行 文号 、 作出 执行 单位 、 法定代表 人 、 当事人 / 被执行人 类型 、 申请人 等 信息 ，   数据处理 ，   "" 商贸 流通 "" ,   "" 金融服务 ""   解决 相关 。 
 企业 被执行人 信息 （ 数据服务 ）   龙颖 信息 为 银行 、 基金 、 券商 及 政府 监管 机构 等 多个 体系 多元化 数据 技术 产品 服务 。 针对 金融体系 ， 依托 数字化 管理 平台 ， 助力 其 & ; 精准 客户 、 高效 风控 策略 实施 及 卓越 客户 管理 & ; 全 流程 一站式 解决方案 。 对于 政府 客户 ， 信用 评价 模型 企业信用 模型 ， 助力 政府 精准 招商 ， 企业 稳健 发展 。 还 为 产业 规划 、 招商 项目 及 项目 评估 智能化 管理 平台 。 客户 更 可 龙颖 信息 API 接口 补充 工商 信息 等 数据 。   体现 其 应用 价值 。",1,1_产业_企业_数据_针对,产业,企业,数据,针对,图谱,场景,招商,解决
